IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.253.59,4,4,0.00,158.26,13.38
104.26.1.227,4,4,0.00,79.06,11.15
104.20.27.7,4,4,0.00,78.98,10.83
104.26.4.208,4,4,0.00,74.67,10.81
104.26.3.162,4,4,0.00,77.24,10.75
104.26.9.193,4,4,0.00,71.64,10.66
104.26.7.26,4,4,0.00,76.27,10.50
172.67.71.201,4,4,0.00,74.70,10.37
104.17.203.120,4,4,0.00,159.07,10.00
104.26.10.248,4,4,0.00,73.12,9.82
104.19.244.17,4,4,0.00,156.27,9.41
104.17.78.232,4,4,0.00,157.02,9.33
104.16.215.115,4,4,0.00,157.59,9.08
104.16.219.56,4,4,0.00,158.55,8.87
104.17.255.163,4,4,0.00,157.58,8.81
104.17.254.115,4,4,0.00,158.70,8.79
172.65.228.131,4,4,0.00,76.49,0.00
172.65.230.118,4,4,0.00,76.46,0.00
172.65.229.96,4,4,0.00,75.21,0.00
172.65.226.200,4,4,0.00,69.90,0.00
